"interest_level","price","no.fee","hardwood","dishwasher","X1","longitude","bathrooms","bedrooms","latitude","balcony","cats.allowed","common.outdoor.space","dining.room","dogs.allowed","doorman","elevator","exclusive","fitness.center","furnished","garage","garden.patio","high.ceilings","high.speed.internet","laundry.in.building","laundry.in.unit","laundry.room","live.in.super","loft","lowrise","new.construction","outdoor.space","parking.space","pre.war","private.outdoor.space","reduced.fee","renovated","roof.deck","simplex","X0","X2"
1,0.00405375422537969,1,1,1,-0.109178969245973,0.374193166541249,2,4,0.991028748892589,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3.10221293017715,1.08473363653162
0,0.00348036422011564,0,0,0,0.0755083551793662,0.374370724860701,1,2,0.99114800860617,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256904184550301,-1.13011263801912
1,0.00100495516855839,0,1,0,0.0649233668677265,0.375052210601077,1,1,0.991712666841906,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.750909815670077,-0.571434979652799
1,0.0020316626134925,0,0,0,0.0586275483007845,0.374472186757531,1,2,0.99143520546745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505202005391076,-1.27818949748086
2,0.000700423299298272,0,0,0,0.21378791950852,0.375908718113485,1,1,0.99066123426502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.956654394377576,-0.937097530001061
2,0.00103975881075955,0,0,0,0.0656669007305065,0.374944830093599,1,1,0.992133726647001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-0.854832832066497,-0.566826762195695
2,0.000961450615806944,1,0,0,0.0869408656596083,0.374919464619391,1,1,0.990120914746342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.822655234079656,-0.683756953148305
2,0.00444181483592258,0,0,0,0.0835946850574435,0.374418073745889,1,4,0.991252665089518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76445421617938,-1.94158824361892
0,0.00361522833364512,1,0,0,-0.0201096136036994,0.374710622215082,1.5,2,0.992228647643525,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.615618977653687,0.690509025487549
1,0.00386407437538338,1,1,1,-0.0682238440305849,0.374333522165197,2,3,0.99196822337101,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2.00972365721698,0.57309830275062
0,0.00174453256533296,0,0,0,0.0219444004883739,0.374486560526249,1,0,0.991975524986127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.87692660689388,-0.593251610725006
1,0.00130948703781851,0,0,0,0.0714778513945537,0.374718231857345,1,2,0.992279758949346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0403981289230173,-1.28686335175519
1,0.00174453256533296,0,1,1,-0.0490730517978936,0.374790946216739,1,2,0.993908019120496,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491925732174633,0.149048546058726
0,0.00165752345983007,1,0,0,0.0288530460659848,0.374738524236711,1,1,0.992642405833504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.823263559686794,-0.687537552856566
0,0.00265812817311332,0,0,0,0.0449577909161499,0.374268417448064,1,2,0.990897319820478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.0486295384051403,-1.28288771668741
2,0.000830936957552608,1,1,1,-0.0413181234544428,0.374980341757489,1,1,0.994640614503928,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.445090042993272,-0.0257806772580114
1,0.00150960798047516,1,0,0,-0.0472919244659126,0.374564347980485,1,0,0.99187086850278,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.47435514293324,0.778259714337499
2,0.00157051435432718,0,0,0,-0.000362397748026122,0.374473032273338,1,0,0.991542295822503,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-1.73167908012153,-0.0188907918607604
0,0.00172278028895724,0,0,0,0.0408609268957795,0.374603241707604,1,1,0.991924413680306,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.780942216503911,-0.0444906815280188
2,0.000774381038975729,0,0,0,0.0424382277038118,0.374802783438036,1,0,0.993207064069239,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.88042176311298,-0.642689142163871
0,0.00267552999421389,0,1,1,-0.0651517895013828,0.374521226674333,1,1,0.992540183221862,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.335541856274152,1.03558134651032
2,0.00191855077633874,1,1,1,-0.0738038476118114,0.374488251557863,1,2,0.992131292775295,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541475153914767,0.304494052183787
1,0.00144000069607284,0,0,0,0.0471303251382596,0.374459504020428,1,1,0.99261563324474,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.917658497994611,-0.805602957090887
1,0.00257111906761043,0,0,0,0.0592010048222009,0.374474723304952,1,2,0.991415734493803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0505145354709444,-1.27815345843031
2,0.00126598248506706,0,0,0,0.0958999482447869,0.375083494685933,2,4,0.994974054927617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99690352426127,-1.93659752315162
1,0.00165752345983007,1,1,1,-0.102431427015347,0.374257425742574,1,2,0.990748853646427,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.804476367396538,1.12346705847143
2,0.00157051435432718,1,1,1,-0.126060955724671,0.374530527348209,1,0,0.991758910404315,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-0.864014897605144,2.30283203912576
0,0.00102670744493411,0,0,0,0.0689333537575521,0.374718231857345,1,0,0.992238383130348,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.84057936560677,-0.465920895040696
0,0.0019142003210636,1,0,0,0.0420367714664442,0.374465422631076,1,1,0.991272136063164,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.788318846298673,-0.548584949597294
2,0.00130948703781851,0,0,0,0.0959392470885603,0.374161882456392,1,3,0.989132762833806,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.892054731579254,-1.47009896613535
1,0.003310696464385,1,1,1,-0.102926231351385,0.374549128695961,2,3,0.99164695230585,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2.34776240539311,1.65251622119449
1,0.00296266004237343,1,1,1,-0.0970459219234532,0.374276872606133,1,3,0.990989806945296,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1.92226400078672,1.39410307730398
0,0.00409377841391102,0,0,0,0.0751468046774366,0.374642135434722,1,2,0.991009277918942,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032932251619165,-0.973570674504312
1,0.000874441510304053,1,1,0,0.068332237538252,0.375042909927201,1,1,0.990201232512632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.701159064628296,-0.414510106508902
2,0.00161401890707863,0,1,1,0.0217382129172144,0.37440961858782,1,2,0.991218590885637,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257337199329656,-0.561606640147585
2,0.00231009175110175,0,0,0,-1.10887801867012e-05,0.374243051973857,1,2,0.991384094161629,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101478885086724,-0.526091560387693
2,0.00407202613753529,1,1,1,-0.105069033601549,0.374507698421422,2,2,0.991690761996554,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1.17549894132249,1.15819500965439
2,0.000874441510304053,0,0,0,0.0415587016131442,0.374721613920572,1,0,0.992508542889687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.86548937011384,-0.614568833523456
