interest_level,bathrooms,bedrooms,latitude,longitude,balcony,cats.allowed,common.outdoor.space,dining.room,dishwasher,dogs.allowed,doorman,elevator,exclusive,fireplace,fitness.center,furnished,garage,garden.patio,hardwood,high.ceilings,high.speed.internet,laundry.in.building,laundry.in.unit,laundry.room,live.in.super,loft,lowrise,new.construction,no.fee,outdoor.space,parking.space,pre.war,private.outdoor.space,reduced.fee,renovated,roof.deck,simplex,swimming.pool,terrace,0,1,2,price
1,2.0,4,40.7182,-74.0148,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,3.1022129301771484,-0.10917896924597349,1.0847336365316218,5354
0,1.0,2,40.7231,-73.9938,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025690418455030093,0.07550835517936622,-1.1301126380191244,4695
1,1.0,1,40.7463,-73.9132,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7509098156700765,0.06492336686772654,-0.5714349796527994,1850
1,1.0,2,40.7349,-73.9818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05052020053910758,0.058627548300784524,-1.2781894974808632,3030
2,1.0,1,40.7031,-73.8119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.956654394377576,0.21378791950852005,-0.9370975300010611,1500
2,1.0,1,40.7636,-73.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.8548328320664972,0.06566690073050654,-0.5668267621956952,1890
2,1.0,1,40.6809,-73.9289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.822655234079656,0.08694086565960835,-0.6837569531483053,1800
2,1.0,4,40.7274,-73.9882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7644542161793846,0.08359468505744354,-1.9415882436189167,5800
0,1.5,2,40.7675,-73.9536,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.6156189776536866,-0.02010961360369942,0.6905090254875491,4850
1,2.0,3,40.7568,-73.9982,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,2.009723657216975,-0.06822384403058493,0.5730983027506198,5136
0,1.0,0,40.7571,-73.9801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8769266068938784,0.021944400488373858,-0.593251610725006,2700
1,1.0,2,40.7696,-73.9527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.04039812892301734,0.07147785139455366,-1.2868633517551937,2200
1,1.0,2,40.8365,-73.9441,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49192573217463254,-0.04907305179789356,0.149048546058726,2700
0,1.0,1,40.7845,-73.9503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8232635596867939,0.028853046065984825,-0.6875375528565665,2600
0,1.0,2,40.7128,-74.0059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0486295384051403,0.044957790916149855,-1.2828877166874095,3750
2,1.0,1,40.8666,-73.9217,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.4450900429932718,-0.04131812345444277,-0.025780677258011413,1650
1,1.0,0,40.7528,-73.9709,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.474355142933244,-0.04729192446591255,0.7782597143374993,2430
2,1.0,0,40.7393,-73.9817,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.7316790801215305,-0.0003623977480261222,-0.018890791860760373,2500
0,1.0,1,40.755,-73.9663,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7809422165039107,0.04086092689577947,-0.04449068152801885,2675
2,1.0,0,40.8077,-73.9427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.8804217631129794,0.042438227703811796,-0.6426891421638712,1585
0,1.0,1,40.7803,-73.976,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.3355418562741521,-0.06515178950138281,1.0355813465103154,3770
2,1.0,2,40.7635,-73.9799,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5414751539147666,-0.07380384761181141,0.3044940521837874,2900
1,1.0,1,40.7834,-73.9833,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.9176584979946112,0.047130325138259585,-0.8056029570908868,2350
1,1.0,2,40.7341,-73.9815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050514535470944394,0.05920100482220089,-1.2781534584303138,3650
2,2.0,4,40.8803,-73.9095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9969035242612723,0.09589994824478693,-1.9365975231516186,2150
