"ID","low","medium","high"
1,0.474,0.342,0.184
2,0.048,0.238,0.714
3,0.572,0.262,0.166
4,0.738,0.182,0.08
5,0.86,0.082,0.058
6,0.072,0.174,0.754
7,0.548,0.394,0.058
8,0.56,0.264,0.176
9,0.072,0.122,0.806
10,0.27,0.352,0.378
11,0.414,0.402,0.184
12,0.716,0.208,0.076
13,0.032,0.152,0.816
14,0.462,0.37,0.168
15,0.456,0.464,0.08
16,0.384,0.496,0.12
17,0.106,0.148,0.746
18,0.508,0.422,0.07
19,0.228,0.34,0.432
20,0.214,0.322,0.464
21,0.188,0.588,0.224
22,0.27,0.484,0.246
23,0.072,0.596,0.332
24,0.644,0.31,0.046
25,0.172,0.68,0.148
26,0.188,0.602,0.21
27,0.026,0.688,0.286
28,0.708,0.2,0.092
29,0.608,0.244,0.148
30,0.244,0.424,0.332
31,0.03,0.084,0.886
32,0.294,0.396,0.31
33,0.056,0.168,0.776
34,0.212,0.302,0.486
35,0.28,0.608,0.112
36,0.296,0.672,0.032
37,0.48,0.472,0.048
38,0.758,0.152,0.09
39,0.122,0.144,0.734
40,0.188,0.734,0.078
41,0.748,0.226,0.026
42,0.306,0.44,0.254
43,0.882,0.062,0.056
44,0.054,0.12,0.826
45,0.342,0.452,0.206
46,0.562,0.262,0.176
47,0.356,0.37,0.274
48,0.042,0.072,0.886
49,0.058,0.296,0.646
50,0.15,0.504,0.346
51,0.224,0.464,0.312
52,0.1,0.422,0.478
53,0.242,0.4,0.358
54,0.418,0.426,0.156
55,0.78,0.166,0.054
56,0.07,0.528,0.402
57,0.47,0.454,0.076
58,0.058,0.434,0.508
59,0.242,0.626,0.132
60,0.906,0.062,0.032
61,0.242,0.42,0.338
62,0.068,0.812,0.12
63,0.472,0.29,0.238
64,0.328,0.622,0.05
65,0.188,0.358,0.454
66,0.174,0.806,0.02
67,0.314,0.544,0.142
68,0.202,0.272,0.526
69,0.252,0.25,0.498
70,0.35,0.384,0.266
71,0.718,0.132,0.15
72,0.086,0.802,0.112
73,0.904,0.082,0.014
74,0.136,0.69,0.174
75,0.86,0.122,0.018
76,0.448,0.246,0.306
77,0.014,0.15,0.836
78,0.126,0.736,0.138
79,0.99,0.01,0
80,0.284,0.642,0.074
81,0.49,0.362,0.148
82,0.472,0.29,0.238
83,0.578,0.348,0.074
84,0.438,0.394,0.168
85,0.358,0.502,0.14
86,0.664,0.27,0.066
87,0.198,0.522,0.28
88,0.122,0.368,0.51
89,0.37,0.528,0.102
90,0.354,0.402,0.244
91,0.04,0.264,0.696
92,0.202,0.308,0.49
93,0.304,0.4,0.296
94,0.316,0.454,0.23
95,0.224,0.604,0.172
96,0.746,0.232,0.022
97,0.068,0.786,0.146
98,0.702,0.28,0.018
99,0.072,0.87,0.058
100,0.108,0.438,0.454
101,0.058,0.2,0.742
102,0.156,0.684,0.16
103,0.722,0.222,0.056
104,0.9,0.08,0.02
105,0.914,0.08,0.006
106,0.408,0.51,0.082
107,0.232,0.256,0.512
108,0.644,0.214,0.142
109,0.348,0.532,0.12
110,0.402,0.322,0.276
